Irradiance (W/m2),Cell Temperature (degC),Voltage Sample (V),Current Sample (A),Power Sample (W)
500,10,0.0,9.307,0.0
500,10,4.86,9.307,45.213
500,10,9.83,9.307,91.453
500,10,14.801,9.307,137.693
500,10,19.771,9.307,183.933
500,10,24.742,9.307,230.171
500,10,29.712,9.305,276.373
500,10,34.683,9.289,322.031
500,10,39.653,9.139,362.233
500,10,44.623,8.077,360.287
500,10,49.594,0.0,0.0
500,20,0.0,9.349,0.0
500,20,4.734,9.349,44.244
500,20,9.576,9.349,89.494
500,20,14.418,9.349,134.743
500,20,19.26,9.349,179.993
500,20,24.103,9.349,225.241
500,20,28.945,9.347,270.448
500,20,33.787,9.329,315.059
500,20,38.629,9.158,353.603
500,20,43.471,7.948,345.35
500,20,48.313,0.0,0.0
500,25,0.0,9.37,0.0
500,25,4.672,9.37,43.756
500,25,9.449,9.37,88.506
500,25,14.227,9.37,133.256
500,25,19.005,9.37,178.007
500,25,23.783,9.37,222.755
500,25,28.561,9.368,267.462
500,25,33.339,9.349,311.541
500,25,38.116,9.166,349.218
500,25,42.894,7.873,337.589
500,25,47.672,0.0,0.0
500,30,0.0,9.391,0.0
500,30,4.609,9.391,43.265
500,30,9.322,9.391,87.513
500,30,14.036,9.391,131.761
500,30,18.75,9.391,176.01
500,30,23.463,9.391,220.256
500,30,28.177,9.389,264.459
500,30,32.891,9.368,308.002
500,30,37.604,9.172,344.782
500,30,42.318,7.792,329.621
500,30,47.031,0.0,0.0
500,40,0.0,9.433,0.0
500,40,4.483,9.433,42.275
500,40,9.069,9.433,85.511
500,40,13.654,9.433,128.747
500,40,18.239,9.433,171.983
500,40,22.824,9.433,215.218
500,40,27.409,9.431,258.403
500,40,31.995,9.407,300.858
500,40,36.58,9.182,335.753
500,40,41.165,7.607,313.027
500,40,45.75,0.0,0.0
500,50,0.0,9.475,0.0
500,50,4.358,9.475,41.275
500,50,8.815,9.475,83.488
500,50,13.271,9.475,125.701
500,50,17.728,9.475,167.914
500,50,22.185,9.475,210.125
500,50,26.642,9.473,252.283
500,50,31.099,9.446,293.625
500,50,35.555,9.186,326.493
500,50,40.012,7.388,295.491
500,50,44.469,0.0,0.0
500,60,0.0,9.518,0.0
500,60,4.232,9.518,40.264
500,60,8.561,9.518,81.443
