Irradiance (W/m2),Cell Temperature (degC),Voc (V),Isc (A),Vmp (V),Imp (A),Pmp model (W),Vmp change vs 25C same G (%),Imp change vs 25C same G (%),Power loss vs 25C same G (%),Power loss vs STC 725W (%)
500,10,49.594,9.307,42.421,8.785,372.534,5.231,-0.675,-4.521,48.616
500,20,48.313,9.349,41.012,8.825,361.792,1.736,-0.225,-1.507,50.098
500,25,47.672,9.37,40.312,8.845,356.421,0.0,0.0,0.0,50.839
500,30,47.031,9.391,39.616,8.865,351.049,-1.728,0.225,1.507,51.58
500,40,45.75,9.433,38.231,8.905,340.303,-5.162,0.675,4.522,53.062
500,50,44.469,9.475,36.859,8.945,329.556,-8.566,1.125,7.537,54.544
500,60,43.188,9.518,35.499,8.984,318.806,-11.94,1.575,10.553,56.027
500,70,41.906,9.56,34.151,9.024,308.055,-15.285,2.025,13.57,57.51
500,80,40.625,9.602,32.814,9.064,297.302,-18.601,2.475,16.587,58.993
500,90,39.344,9.644,31.488,9.104,286.547,-21.889,2.925,19.604,60.476
1000,10,51.045,18.614,43.074,17.571,756.538,5.059,-0.675,-4.35,-4.35
1000,20,49.815,18.698,41.688,17.65,735.512,1.679,-0.225,-1.45,-1.45
1000,25,49.2,18.74,41.0,17.69,725.0,0.0,0.0,0.0,0.0
1000,30,48.585,18.782,40.315,17.73,714.487,-1.671,0.225,1.45,1.45
1000,40,47.355,18.866,38.954,17.809,693.462,-4.991,0.675,4.35,4.35
1000,50,46.125,18.951,37.604,17.889,672.437,-8.282,1.125,7.25,7.25
1000,60,44.895,19.035,36.267,17.969,651.412,-11.543,1.575,10.15,10.15
1000,70,43.665,19.119,34.942,18.048,630.387,-14.776,2.025,13.05,13.05
1000,80,42.435,19.204,33.628,18.128,609.362,-17.98,2.475,15.95,15.95
1000,90,41.205,19.288,32.326,18.207,588.337,-21.156,2.925,18.85,18.85
